location_name,job_count,avg_skill_count,remote_jobs,hybrid_jobs,remote_pct,hybrid_pct
UK - London,18,2.61,0,17,0.0,94.44
Poland,11,2.18,0,6,0.0,54.55
"Seattle, Washington, United States",7,1.71,0,7,0.0,100.0
India,6,1.83,0,2,0.0,33.33
China - Hong Kong,6,2.17,0,1,0.0,16.67
United States - Remote,5,6.0,5,0,100.0,0.0
India - Bengaluru,5,4.0,0,1,0.0,20.0
Brazil - Sao Paulo,5,4.8,1,0,20.0,0.0
Belgium - Brussels,5,0.0,5,5,100.0,100.0
UK - Edinburgh,4,3.75,0,4,0.0,100.0
"San Francisco, CA; Sunnyvale, CA; Seattle, WA",4,5.25,3,2,75.0,50.0
"San Francisco, CA; Sunnyvale, CA",4,5.0,3,1,75.0,25.0
US - Dallas,4,1.25,0,0,0.0,0.0
India - Pune,3,3.33,0,0,0.0,0.0
Cape Town,3,6.0,0,3,0.0,100.0
US - Houston,3,0.67,0,0,0.0,0.0
UK - Glasgow,3,4.67,0,3,0.0,100.0
Malaysia - Kuala Lumpur,2,0.5,0,0,0.0,0.0
Thailand - Bangkok,2,0.0,0,2,0.0,100.0
India - Bengaluru; India - Pune,2,5.0,0,0,0.0,0.0
Italy - Milan,2,0.0,1,2,50.0,100.0
"San Francisco, California, United States",2,2.5,0,2,0.0,100.0
Switzerland - Zurich,2,5.5,0,0,0.0,0.0
"New York City, San Francisco, or Seattle preferred; remote candidates welcome",2,3.0,2,2,100.0,100.0
India - Bengaluru; India - Hyderabad; India - Pune,1,2.0,0,0,0.0,0.0
"New York City, NY; Columbus, OH",1,5.0,0,1,0.0,100.0
"Los Angeles, California, United States",1,4.0,0,1,0.0,100.0
"Heredia, Heredia, Costa Rica",1,4.0,1,1,100.0,100.0
France - Paris,1,1.0,0,0,0.0,0.0
"Boston, Massachusetts, United States",1,1.0,0,1,0.0,100.0
Anywhere in the United States,1,2.0,1,0,100.0,0.0
Brazil - Rio de Janeiro,1,4.0,0,0,0.0,0.0
India - Bengaluru; India - Chennai ; India - Gurugram; India - Hyderabad; India - Mumbai; India - Pune,1,1.0,0,0,0.0,0.0
Czech Republic - Prague,1,5.0,0,0,0.0,0.0
Czech Republic - Brno,1,5.0,0,0,0.0,0.0
"Novato, California, United States",1,5.0,0,1,0.0,100.0
Ontario or British Columbia,1,2.0,1,0,100.0,0.0
"San Francisco, CA; Sunnyvale, CA;Seattle, WA",1,9.0,1,0,100.0,0.0
"San Francisco, CA; Sunnyvale, CA; Seattle WA",1,3.0,1,0,100.0,0.0
"San Francisco, CA; Seattle, WA; New York, NY",1,3.0,1,0,100.0,0.0
"San Francisco, CA; Seattle, WA; New York, NY; Los Angeles, CA; Chicago, IL; Austin, TX; Washington D.C.",1,7.0,1,0,100.0,0.0
"San Francisco, CA; New York, NY; Seattle, WA; Phoenix, AZ",1,8.0,1,0,100.0,0.0
Remote,1,0.0,1,0,100.0,0.0
Remote - North America,1,5.0,1,1,100.0,100.0
"San Francisco, CA; Los Angeles, CA",1,3.0,1,0,100.0,0.0
"New York, New York, United States",1,4.0,0,1,0.0,100.0
"Sterling, Virginia, United States",1,0.0,0,1,0.0,100.0
Slovakia - Bratislava,1,5.0,0,0,0.0,0.0
Slovakia - Kosice,1,5.0,0,0,0.0,0.0
"Scottsdale, Arizona, United States",1,1.0,0,1,0.0,100.0
"Sunnyvale, CA; San Francisco, CA; Seattle, WA; New York, NY; Los Angeles, CA",1,3.0,1,0,100.0,0.0
US - New York,1,0.0,0,0,0.0,0.0
Washington DC area,1,5.0,1,1,100.0,100.0
