board_token,job_post_id,title,role_category,seniority,location_name,absolute_url,updated_at,language,description_preview,skills_found,skill_count,is_remote,is_hybrid,skill_python,skill_sql,skill_excel,skill_power_bi,skill_tableau,skill_pandas,skill_numpy,skill_spark,skill_aws,skill_azure,skill_gcp,skill_snowflake,skill_etl,skill_dashboarding,skill_statistics,skill_r
greenhouse,7535043,Senior Machine Learning Engineer,ML Engineer,Senior / Lead,Anywhere in the United States,https://job-boards.greenhouse.io/greenhouse/jobs/7535043?gh_jid=7535043,2026-02-11T13:31:28-05:00,en,"Our mission at Greenhouse is to make every company great at hiring – so we go to great lengths to hire great people because we believe that they’re the foundation of our success. At Greenhouse, you’ll join a team that collaborates purposefully, fosters inclusivity, and communicates with transparency","python, aws",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
greenhouse,7565603,Senior Machine Learning Engineer,ML Engineer,Senior / Lead,Ontario or British Columbia,https://job-boards.greenhouse.io/greenhouse/jobs/7565603?gh_jid=7565603,2026-02-11T13:31:26-05:00,en,"Our mission at Greenhouse is to make every company great at hiring – so we go to great lengths to hire great people because we believe that they’re the foundation of our success. At Greenhouse, you’ll join a team that collaborates purposefully, fosters inclusivity, and communicates with transparency","python, aws",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
doordashusa,7028089,Analytics Engineer,Data Engineer,Mid,"San Francisco, CA; Sunnyvale, CA;Seattle, WA",https://job-boards.greenhouse.io/doordashusa/jobs/7028089,2026-03-25T03:53:00-04:00,en,"About the Team The Analytics Engineering team at DoorDash is embedded within the Analytics and Data Engineering Orgs, and is responsible for building internal data products that scale decision-making across business teams and drive efficiency in our operations. Data is fundamental to DoorDash’s succ","python, sql, excel, tableau, spark, snowflake, etl, dashboarding, statistics",9,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0
doordashusa,7450028,"Analytics Engineer, GTM Data Infrastructure",Data Engineer,Mid,"San Francisco, CA; New York, NY; Seattle, WA; Phoenix, AZ",https://job-boards.greenhouse.io/doordashusa/jobs/7450028,2026-03-25T03:59:45-04:00,en,"About the Team The Go To Market Technology (GTMT) organization enables the growth and productivity for DoorDash Go-To-Market teams with reliable data, intelligent workflows, and frictionless experiences that move at the speed of DoorDash. We build systems that streamline business processes to be nim","python, sql, excel, tableau, aws, etl, dashboarding, statistics",8,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0
doordashusa,6103225,Data Scientist / Senior Data Scientist,Data Scientist,Senior / Lead,"San Francisco, CA; Seattle, WA; New York, NY; Los Angeles, CA; Chicago, IL; Austin, TX; Washington D.C.",https://job-boards.greenhouse.io/doordashusa/jobs/6103225,2026-03-25T03:39:44-04:00,en,"About the Team The Analytics team is looking for experienced Data Scientists and Senior Data Scientists to guide measurement, strategy, and tactical decision-making across the company across a variety of teams and levels. Data Scientists at DoorDash work to uncover insights and turn them into releva","python, sql, excel, tableau, etl, dashboarding, statistics",7,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
doordashusa,7380096,Lead Data Scientist,Data Scientist,Senior / Lead,"San Francisco, CA; Seattle, WA; New York, NY",https://job-boards.greenhouse.io/doordashusa/jobs/7380096,2026-03-25T04:24:04-04:00,en,"About the Team The Analytics team is looking for Data Scientists to guide measurement, strategy, and tactical decision-making using Advanced Analytics approaches, as we expand our platform across the globe. Data Scientists at DoorDash work to uncover insights and turn them into actionable recommenda","excel, etl, statistics",3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
doordashusa,6333591,"Machine Learning Engineer, Computer Vision",ML Engineer,Mid,"San Francisco, CA; Sunnyvale, CA; Seattle, WA",https://job-boards.greenhouse.io/doordashusa/jobs/6333591,2026-03-25T03:43:24-04:00,en,"About the Team Come help us build the world's most reliable on-demand, logistics engine for last-mile grocery and retail delivery! We're looking for an experienced senior machine learning engineer to help us develop the cutting-edge Computer Vision models that power DoorDash's growing grocery and re","python, excel, spark, statistics",4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
doordashusa,7580407,"Machine Learning Engineer, Marketplace Optimization",ML Engineer,Mid,"San Francisco, CA; Sunnyvale, CA",https://job-boards.greenhouse.io/doordashusa/jobs/7580407,2026-03-25T03:43:24-04:00,en,About the Team The mission of the Marketplace Optimization team is to ensure we maintain a healthy Ads Marketplace across all our verticals for both search (query context) and discovery experiences while fulfilling the requirements of all players in this marketplace. Marketplace Optimization is a cr,"python, excel, etl, statistics",4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
doordashusa,6518016,Machine Learning Engineer - New Verticals - Search & Recommendations,ML Engineer,Mid,"Sunnyvale, CA; San Francisco, CA; Seattle, WA; New York, NY; Los Angeles, CA",https://job-boards.greenhouse.io/doordashusa/jobs/6518016,2026-03-25T03:43:24-04:00,en,"About the Team Come help us build the world's most reliable on-demand, logistics engine for last-mile retail delivery! We're looking for a talented machine learning engineer to help us develop the cutting edge search and information retrieval models that power DoorDash's growing retail and grocery b","python, excel, statistics",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
doordashusa,7657542,"Machine Learning Engineer, Reinforcement Learning",ML Engineer,Mid,"San Francisco, CA; Sunnyvale, CA; Seattle WA",https://job-boards.greenhouse.io/doordashusa/jobs/7657542,2026-03-25T03:43:24-04:00,en,About the Team Come help us build the world's most reliable local e-commerce platform for on-demand last-mile grocery and retail delivery! We're looking for an experienced senior machine learning engineer to help us develop the cutting-edge reinforcement learning models that power DoorDash's growing,"python, excel, statistics",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
